date,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
23/07/1999,3,3,1,3,3,3,3,2
24/07/1999,3,3,2,3,3,2,3,3
25/07/1999,2,3,2,1,2,2,2,3
26/07/1999,3,1,3,2,2,2,2,1
27/07/1999,2,2,2,1,2,2,2,1
28/07/1999,1,1,2,2,2,3,3,3
29/07/1999,3,3,2,2,2,2,2,3
30/07/1999,3,2,3,4,5,4,6,6
31/07/1999,5,4,4,2,2,2,4,4
01/08/1999,4,3,1,1,1,1,1,1
02/08/1999,2,2,3,2,2,3,3,2
03/08/1999,3,1,1,2,1,2,3,3
04/08/1999,3,4,3,2,2,3,2,2
05/08/1999,3,2,2,1,2,2,2,2
06/08/1999,2,2,2,3,3,4,4,3
07/08/1999,3,3,3,2,2,2,3,3
08/08/1999,2,1,1,2,2,2,3,3
09/08/1999,4,4,3,4,3,4,3,2
10/08/1999,2,1,0,1,2,3,3,3
11/08/1999,3,2,1,2,2,2,3,2
12/08/1999,2,2,3,3,3,3,2,3
13/08/1999,2,4,3,3,3,1,2,2
14/08/1999,2,1,1,2,1,2,2,2
15/08/1999,1,1,2,3,4,4,4,3
16/08/1999,3,2,4,5,5,4,4,4
17/08/1999,5,4,5,4,4,4,3,3
18/08/1999,4,5,5,4,4,4,3,3
19/08/1999,3,5,4,4,3,3,3,4
20/08/1999,3,5,5,5,5,4,3,3
21/08/1999,1,2,2,2,2,2,2,2
22/08/1999,1,1,3,2,3,3,3,3
23/08/1999,6,5,4,4,5,4,3,3
24/08/1999,3,4,4,5,5,4,3,3
25/08/1999,2,2,1,1,2,2,2,4
26/08/1999,2,3,1,2,4,4,3,3
27/08/1999,3,3,4,2,3,3,3,2
28/08/1999,3,2,3,3,3,3,3,3
29/08/1999,2,2,2,3,2,3,3,3
30/08/1999,2,2,5,5,3,3,3,3
31/08/1999,3,3,4,4,3,3,4,4
01/09/1999,3,4,5,4,4,3,3,2
02/09/1999,3,3,4,2,3,3,2,2
03/09/1999,2,3,5,5,3,3,2,2
04/09/1999,3,4,3,4,3,3,3,3
05/09/1999,2,3,1,2,3,2,2,2
06/09/1999,1,2,2,1,1,2,2,2
07/09/1999,2,1,4,4,3,3,4,4
08/09/1999,3,1,1,2,3,3,2,3
09/09/1999,3,1,2,2,3,3,2,2
10/09/1999,2,3,4,3,4,3,3,3
11/09/1999,4,3,2,2,2,2,2,2
12/09/1999,3,3,3,6,3,4,5,4
13/09/1999,5,5,5,5,4,4,4,4
14/09/1999,4,5,5,3,3,3,3,3
15/09/1999,4,3,5,7,4,3,3,2
16/09/1999,3,6,5,5,4,4,3,2
17/09/1999,3,2,2,3,4,4,1,2
